Source City,Destination City,Distance,Weight (MT),Schd. Date,Material,Truck Type,Posted By
Nagpur (MH),Burhanpur (MP),439 km,Upto 15 MT,20-Feb-2025,Fertilizers,Truck 15MT / 10 w...,Customer
Mangalore (KA),Katni (MP),"1,737 km",Upto 15 MT,20-Feb-2025,Others,Container Close B...,Transporter
Varanasi (UP),Kolkata (WB),683 km,Upto 15 MT,20-Feb-2025,Building Mat...,Truck 15MT / 10 w...,Transporter
Ambala (HR),Patiala (PB),52.6 km,Upto 15 MT,20-Feb-2025,Building Mat...,Container Trucks,Transporter
Mangalore (KA),Chennai (TN),702 km,Do Not Know,20-Feb-2025,Others,Canters 17feet / ...,Transporter
Nagpur (MH),Raja Sansi (PB),"1,595 km",Upto 15 MT,20-Feb-2025,Bardana jute...,Truck 15MT / 10 w...,Transporter
Amritsar (PB),Ambala (HR),262 km,Upto 12 MT,20-Feb-2025,Building Mat...,Truck 20MT / 12 w...,Transporter
Morena (MP),Nagal (UP),445 km,Upto 12 MT,20-Feb-2025,Bardana jute...,Truck 15MT / 10 w...,Transporter
Ambala (HR),Delhi Central (DL),204 km,Do Not Know,20-Feb-2025,Bardana jute...,Trailer 28MT / 18...,Transporter
Kanpur (UP),Hisar (HR),683 km,Do Not Know,20-Feb-2025,Others,Canters 17feet / ...,Transporter
